 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,35.911,1.106,3.176,0,67,39.731,0,1633.000
2,35.911,1.091,2.737,0,38,39.196,0,1611.000
3,35.911,1.018,2.458,0,23,36.568,0,1503.000
4,35.911,0.772,2.349,0,21,27.712,0,1139.000
5,35.911,0.852,2.402,0,23,30.583,0,1257.000
6,35.911,0.806,2.250,0,25,28.953,0,1190.000
7,35.911,0.931,2.630,0,42,33.430,0,1374.000
8,35.911,0.841,2.248,0,28,30.218,0,1242.000
9,35.911,0.856,2.060,0,18,30.729,0,1263.000
10,35.911,0.789,1.997,0,22,28.320,0,1164.000
11,35.911,1.001,2.855,0,57,35.960,0,1478.000
12,35.911,0.818,2.292,0,28,29.367,0,1207.000
13,35.911,0.801,2.141,0,21,28.783,0,1183.000
14,35.911,0.835,2.215,0,19,29.999,0,1233.000
15,35.911,0.860,2.483,0,27,30.899,0,1270.000
16,35.911,0.759,2.419,0,34,27.274,0,1121.000
17,35.911,0.661,1.825,0,22,23.722,0,975.000
18,35.911,0.671,1.949,0,20,24.087,0,990.000
19,35.911,0.799,2.308,0,24,28.685,0,1179.000
20,35.911,0.766,2.202,0,25,27.517,0,1131.000
21,35.911,0.794,2.182,0,21,28.515,0,1172.000
22,35.911,0.844,2.549,0,36,30.315,0,1246.000
23,35.911,0.744,2.172,0,25,26.715,0,1098.000
24,35.911,0.668,2.038,0,25,23.990,0,986.000
25,35.911,0.805,2.192,0,20,28.904,0,1188.000
26,35.911,0.749,2.020,0,18,26.909,0,1106.000
27,35.911,0.743,2.274,0,27,26.666,0,1096.000
28,35.911,0.968,2.585,0,23,34.768,0,1429.000
29,35.911,0.782,2.207,0,19,28.077,0,1154.000
30,35.911,0.745,2.183,0,24,26.739,0,1099.000
31,35.911,0.703,1.917,0,16,25.230,0,1037.000
32,35.911,0.706,2.050,0,20,25.352,0,1042.000
33,35.911,0.662,1.927,0,23,23.771,0,977.000
34,35.911,0.770,2.231,0,23,27.663,0,1137.000
35,35.911,0.803,2.355,0,27,28.831,0,1185.000
36,35.911,0.799,2.294,0,23,28.685,0,1179.000
