 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,30.607,5.372,9.290,0,75,164.424,1,6758.000
2,30.607,4.976,8.955,0,60,152.307,1,6260.000
3,30.607,5.095,9.025,0,72,155.957,1,6410.000
4,30.607,4.620,8.967,0,77,141.407,0,5812.000
5,30.607,4.777,8.859,0,87,146.200,1,6009.000
6,30.607,4.605,8.173,0,49,140.945,1,5793.000
7,30.607,4.569,8.631,0,49,139.850,1,5748.000
8,30.607,4.226,8.085,0,64,129.339,1,5316.000
9,30.607,3.969,7.354,0,53,121.481,1,4993.000
10,30.607,3.957,7.639,0,65,121.116,1,4978.000
11,30.607,3.819,7.183,0,81,116.882,1,4804.000
12,30.607,3.880,7.267,0,49,118.756,1,4881.000
13,30.607,3.585,6.865,0,48,109.729,1,4510.000
14,30.607,3.677,7.116,0,48,112.552,1,4626.000
15,30.607,3.269,6.645,0,54,100.070,1,4113.000
16,30.607,3.237,6.248,0,54,99.073,0,4072.000
17,30.607,3.348,6.585,0,44,102.479,0,4212.000
18,30.607,3.382,6.505,0,59,103.501,0,4254.000
19,30.607,3.393,6.318,0,56,103.841,1,4268.000
20,30.607,3.199,6.357,0,43,97.905,0,4024.000
21,30.607,3.569,7.145,0,80,109.243,1,4490.000
22,30.607,3.390,6.577,0,52,103.768,0,4265.000
23,30.607,3.419,6.840,0,63,104.644,0,4301.000
24,30.607,3.435,7.009,0,65,105.131,0,4321.000
25,30.607,3.146,6.039,0,51,96.299,0,3958.000
26,30.607,3.429,7.148,0,65,104.961,0,4314.000
27,30.607,2.955,5.697,0,48,90.460,0,3718.000
28,30.607,3.176,6.224,0,63,97.199,0,3995.000
29,30.607,3.072,6.279,0,41,94.012,0,3864.000
30,30.607,3.161,6.251,0,56,96.737,0,3976.000
31,30.607,2.962,5.812,0,54,90.654,0,3726.000
32,30.607,3.003,5.777,0,44,91.920,0,3778.000
33,30.607,3.092,6.032,0,43,94.645,1,3890.000
34,30.607,2.950,5.686,0,50,90.289,0,3711.000
35,30.607,3.238,6.435,0,56,99.121,0,4074.000
36,30.607,2.886,5.609,0,49,88.343,0,3631.000
