 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,45.887,5.944,12.098,0,87,272.766,1,11211.000
2,45.887,6.239,12.949,0,114,286.294,1,11767.000
3,45.887,6.336,12.453,0,139,290.722,1,11949.000
4,45.887,0.950,2.869,0,24,43.575,0,1791.000
5,45.887,1.166,3.277,0,34,53.526,0,2200.000
6,45.887,1.064,2.946,0,24,48.831,0,2007.000
7,45.887,1.033,2.780,0,34,47.420,0,1949.000
8,45.887,1.137,2.961,0,28,52.188,0,2145.000
9,45.887,1.112,3.224,0,53,51.020,0,2097.000
10,45.887,1.164,2.961,0,32,53.405,0,2195.000
11,45.887,1.037,2.709,0,35,47.590,0,1956.000
12,45.887,1.272,3.013,0,28,58.368,0,2399.000
13,45.887,1.167,2.964,0,55,53.551,0,2201.000
14,45.887,1.251,3.444,0,56,57.419,0,2360.000
15,45.887,1.148,2.920,0,28,52.675,0,2165.000
16,45.887,1.291,3.089,0,24,59.244,0,2435.000
17,45.887,1.109,2.952,0,29,50.874,0,2091.000
18,45.887,1.327,3.367,0,34,60.899,0,2503.000
19,45.887,1.173,3.414,0,59,53.818,0,2212.000
20,45.887,1.226,2.962,0,35,56.276,0,2313.000
21,45.887,1.341,3.448,0,34,61.555,0,2530.000
22,45.887,1.185,3.114,0,36,54.378,0,2235.000
23,45.887,1.225,2.983,0,32,56.203,0,2310.000
24,45.887,1.301,3.099,0,32,59.706,0,2454.000
25,45.887,1.350,3.437,0,38,61.945,0,2546.000
26,45.887,1.393,3.991,0,90,63.915,0,2627.000
27,45.887,1.380,3.289,0,35,63.332,0,2603.000
28,45.887,1.353,3.299,0,28,62.066,0,2551.000
29,45.887,1.335,3.392,0,45,61.239,0,2517.000
30,45.887,1.492,3.642,0,32,68.441,0,2813.000
31,45.887,1.256,2.904,0,26,57.638,0,2369.000
32,45.887,1.245,3.297,0,73,57.152,0,2349.000
