 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,25.401,6.125,11.032,0,76,155.567,1,6394
2,25.401,5.852,10.181,0,83,148.633,1,6109
3,25.401,6.010,10.651,0,93,152.648,1,6274
4,25.401,1.047,2.882,0,32,26.593,0,1093
5,25.401,0.984,2.624,0,30,24.987,0,1027
6,25.401,1.057,2.669,0,24,26.861,0,1104
7,25.401,1.200,2.904,0,21,30.486,0,1253
8,25.401,1.139,2.692,0,25,28.929,0,1189
9,25.401,1.191,3.304,0,67,30.242,0,1243
10,25.401,1.298,3.327,0,44,32.967,0,1355
11,25.401,1.156,2.957,0,47,29.367,0,1207
12,25.401,1.074,2.783,0,35,27.274,0,1121
13,25.401,1.032,2.396,0,15,26.204,0,1077
14,25.401,1.141,2.987,0,47,28.977,0,1191
15,25.401,0.975,2.276,0,18,24.768,0,1018
16,25.401,1.032,2.792,0,33,26.204,0,1077
17,25.401,1.091,2.898,0,30,27.712,0,1139
18,25.401,1.094,2.642,0,19,27.785,0,1142
19,25.401,1.175,2.780,0,22,29.853,0,1227
20,25.401,1.284,3.320,0,39,32.627,0,1341
21,25.401,0.961,2.488,0,24,24.403,0,1003
22,25.401,1.096,2.814,0,31,27.834,0,1144
23,25.401,1.121,3.015,0,39,28.466,0,1170
24,25.401,1.099,2.611,0,24,27.907,0,1147
25,25.401,1.241,2.976,0,21,31.532,0,1296
26,25.401,1.133,2.901,0,33,28.783,0,1183
27,25.401,1.041,2.521,0,23,26.447,0,1087
28,25.401,1.239,2.955,0,20,31.483,0,1294
29,25.401,1.213,3.031,0,26,30.802,0,1266
30,25.401,1.277,3.150,0,25,32.432,0,1333
31,25.401,1.192,3.308,0,41,30.267,0,1244
32,25.401,1.105,2.834,0,25,28.077,0,1154
33,25.401,1.198,3.024,0,23,30.437,0,1251
34,25.401,1.093,2.847,0,27,27.761,0,1141
35,25.401,1.374,3.189,0,28,34.890,0,1434
36,25.401,1.159,2.730,0,22,29.440,0,1210
