 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,39.756,0.365,1.401,0,41,14.525,0,597.000
2,39.756,0.337,0.636,0,16,13.382,0,550.000
3,39.756,0.321,0.467,0,1,12.749,0,524.000
4,39.756,0.051,0.220,0,1,2.019,0,83.000
5,39.756,0.133,0.340,0,1,5.304,0,218.000
6,39.756,0.195,0.482,0,10,7.761,0,319.000
7,39.756,0.236,0.674,0,15,9.391,0,386.000
8,39.756,0.266,0.442,0,1,10.559,0,434.000
9,39.756,0.305,0.788,0,21,12.116,0,498.000
10,39.756,0.321,0.570,0,10,12.749,0,524.000
11,39.756,0.322,0.503,0,8,12.798,0,526.000
12,39.756,0.320,0.689,0,21,12.725,0,523.000
13,39.756,0.330,0.868,0,27,13.114,0,539.000
14,39.756,0.323,0.664,0,19,12.822,0,527.000
15,39.756,0.405,3.171,0,127,16.082,0,661.000
16,39.756,0.328,0.687,0,20,13.041,0,536.000
17,39.756,0.370,1.530,0,51,14.695,0,604.000
18,39.756,0.321,0.637,0,18,12.773,0,525.000
19,39.756,0.300,0.458,0,1,11.922,0,490.000
20,39.756,0.278,0.462,0,5,11.070,0,455.000
21,39.756,0.351,1.983,0,76,13.941,0,573.000
22,39.756,0.300,0.553,0,13,11.922,0,490.000
23,39.756,0.293,0.455,0,1,11.654,0,479.000
24,39.756,0.293,0.456,0,2,11.630,0,478.000
25,39.756,0.303,0.746,0,23,12.043,0,495.000
26,39.756,0.357,1.561,0,52,14.185,0,583.000
27,39.756,0.315,0.464,0,1,12.506,0,514.000
28,39.756,0.302,0.459,0,1,12.019,0,494.000
29,39.756,0.304,0.468,0,4,12.068,0,496.000
30,39.756,0.316,0.465,0,1,12.554,0,516.000
31,39.756,0.329,0.656,0,19,13.090,0,538.000
32,39.756,0.333,0.544,0,9,13.236,0,544.000
