 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,179.849,0.326,0.665,0,21,58.636,0,2410
2,179.849,0.318,0.571,0,14,57.127,0,2348
3,179.849,0.321,0.531,0,12,57.736,0,2373
4,179.849,0.198,0.681,0,41,35.595,0,1463
5,179.849,0.249,0.531,0,23,44.695,0,1837
6,179.849,0.297,0.607,0,23,53.356,0,2193
7,179.849,0.328,0.971,0,58,59.025,0,2426
8,179.849,0.332,0.875,0,50,59.633,0,2451
9,179.849,0.324,0.631,0,26,58.271,0,2395
10,179.849,0.320,0.489,0,10,57.468,0,2362
11,179.849,0.326,0.535,0,11,58.709,0,2413
12,179.849,0.324,0.607,0,16,58.320,0,2397
13,179.849,0.346,0.857,0,36,62.164,0,2555
14,179.849,0.351,1.051,0,56,63.161,0,2596
15,179.849,0.343,1.157,0,77,61.750,0,2538
16,179.849,0.334,0.713,0,37,60.120,0,2471
17,179.849,0.350,1.019,0,58,62.942,0,2587
18,179.849,0.332,0.717,0,37,59.779,0,2457
19,179.849,0.316,0.644,0,33,56.908,0,2339
20,179.849,0.325,0.794,0,41,58.393,0,2400
21,179.849,0.327,0.968,0,59,58.830,0,2418
22,179.849,0.325,0.917,0,49,58.441,0,2402
23,179.849,0.316,0.595,0,17,56.811,0,2335
24,179.849,0.313,0.903,0,55,56.349,0,2316
25,179.849,0.289,0.490,0,11,51.994,0,2137
26,179.849,0.292,0.865,0,53,52.432,0,2155
27,179.849,0.287,0.710,0,28,51.677,0,2124
28,179.849,0.319,1.400,0,77,57.419,0,2360
29,179.849,0.270,0.758,0,33,48.490,0,1993.000
30,179.849,0.261,0.561,0,19,46.957,0,1930
31,179.849,0.253,0.634,0,28,45.522,0,1871
32,179.849,0.271,0.581,0,21,48.685,0,2001.000
33,179.849,0.268,0.495,0,10,48.198,0,1981
34,179.849,0.285,0.810,0,49,51.264,0,2107
35,179.849,0.292,0.851,0,45,52.578,0,2161
36,179.849,0.298,0.914,0,39,53.526,0,2200
37,179.849,0.283,0.813,0,51,50.899,0,2092
38,179.849,0.279,0.582,0,19,50.218,0,2064
39,179.849,0.281,1.031,0,46,50.583,0,2079
40,179.849,0.251,0.846,0,60,45.181,0,1857
