 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,70.558,3.869,9.549,0,130,273.009,0,11221
2,70.558,3.830,9.587,0,97,270.260,0,11108
3,70.558,3.746,8.948,0,87,264.299,0,10863
4,70.558,2.929,6.909,0,60,206.636,0,8493
5,70.558,3.118,7.276,0,64,219.994,0,9042
6,70.558,3.089,7.293,0,81,217.974,0,8959
7,70.558,3.392,7.688,0,74,239.312,0,9836
8,70.558,3.369,7.393,0,54,237.682,0,9769
9,70.558,3.304,7.540,0,96,233.156,0,9583
10,70.558,3.304,7.531,0,116,233.132,0,9582
11,70.558,3.289,7.369,0,83,232.037,0,9537
12,70.558,3.319,7.544,0,68,234.154,0,9624
13,70.558,3.288,7.459,0,81,231.989,0,9535
14,70.558,3.366,7.818,0,65,237.463,0,9760
15,70.558,3.199,7.186,0,77,225.687,0,9276
16,70.558,3.356,7.559,0,60,236.806,0,9733
17,70.558,3.344,7.518,0,79,235.954,0,9698
18,70.558,3.112,7.011,0,62,219.580,0,9025
19,70.558,3.208,7.283,0,104,226.320,0,9302
20,70.558,3.244,7.217,0,72,228.899,0,9408
21,70.558,3.241,7.379,0,74,228.655,0,9398
22,70.558,3.341,7.732,0,92,235.711,0,9688
23,70.558,3.190,7.384,0,71,225.103,0,9252
24,70.558,3.078,7.116,0,69,217.171,0,8926
25,70.558,3.138,7.125,0,75,221.429,0,9101
26,70.558,2.999,6.912,0,75,211.624,0,8698
27,70.558,2.967,6.396,0,55,209.313,0,8603
28,70.558,2.995,6.282,0,53,211.332,0,8686
29,70.558,3.001,6.429,0,72,211.770,0,8704
30,70.558,2.822,6.391,0,125,199.143,0,8185
31,70.558,2.622,5.547,0,62,185.031,0,7605
32,70.558,2.808,5.900,0,42,198.121,0,8143.000
