 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,43.940,2.701,5.898,0,50,118.683,0,4878
2,43.940,2.841,6.440,0,62,124.838,0,5131
3,43.940,2.846,6.068,0,51,125.057,0,5140
4,43.940,0.622,2.354,0,28,27.323,0,1123
5,43.940,0.724,2.708,0,53,31.824,0,1308
6,43.940,0.770,2.246,0,24,33.843,0,1391
7,43.940,0.834,2.447,0,27,36.666,0,1507
8,43.940,0.821,2.275,0,22,36.082,0,1483
9,43.940,0.786,2.245,0,33,34.549,0,1420
10,43.940,0.855,2.308,0,28,37.590,0,1545
11,43.940,0.908,2.193,0,21,39.877,0,1639
12,43.940,0.983,2.483,0,28,43.186,0,1775
13,43.940,0.896,2.300,0,21,39.366,0,1618
14,43.940,0.911,2.362,0,31,40.048,0,1646
15,43.940,0.872,2.188,0,26,38.296,0,1574
16,43.940,0.957,2.504,0,38,42.067,0,1729
17,43.940,0.992,2.839,0,57,43.600,0,1792
18,43.940,1.140,3.068,0,52,50.072,0,2058
19,43.940,0.899,2.255,0,34,39.512,0,1624
20,43.940,0.964,2.574,0,49,42.359,0,1741
21,43.940,0.947,2.334,0,25,41.605,0,1710
22,43.940,1.030,2.981,0,64,45.279,0,1861
23,43.940,0.975,2.610,0,33,42.846,0,1761
24,43.940,1.088,2.667,0,27,47.809,0,1965
25,43.940,0.946,2.392,0,21,41.580,0,1709
26,43.940,0.970,2.480,0,28,42.627,0,1752
27,43.940,0.983,2.449,0,24,43.186,0,1775
28,43.940,1.038,2.476,0,23,45.619,0,1875
29,43.940,1.073,2.597,0,21,47.152,0,1938
30,43.940,1.028,2.566,0,24,45.181,0,1857
31,43.940,1.066,2.639,0,23,46.860,0,1926
32,43.940,1.090,2.721,0,36,47.882,0,1968
