 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,25.303,3.356,7.040,0,48,84.912,1,3490
2,25.303,3.448,7.476,0,74,87.248,0,3586
3,25.303,3.425,7.442,0,81,86.664,0,3562
4,25.303,0.643,2.352,0,30,16.277,0,669
5,25.303,0.787,2.443,0,20,19.902,0,818
6,25.303,0.934,2.762,0,27,23.625,0,971
7,25.303,1.012,3.190,0,48,25.620,0,1053
8,25.303,0.779,2.031,0,18,19.707,0,810
9,25.303,0.973,2.486,0,23,24.622,0,1012
10,25.303,0.977,2.524,0,22,24.719,0,1016
11,25.303,0.988,2.855,0,36,25.011,0,1028
12,25.303,0.891,2.406,0,32,22.554,0,927
13,25.303,0.977,2.546,0,26,24.719,0,1016
14,25.303,0.955,2.470,0,35,24.160,0,993
15,25.303,0.989,2.379,0,22,25.036,0,1029
16,25.303,0.972,2.634,0,33,24.598,0,1011
17,25.303,0.930,2.396,0,21,23.527,0,967
18,25.303,1.091,3.265,0,61,27.615,0,1135
19,25.303,0.997,2.986,0,40,25.230,0,1037
20,25.303,0.924,2.441,0,23,23.381,0,961
21,25.303,0.984,2.615,0,24,24.890,0,1023
22,25.303,1.048,2.792,0,28,26.520,0,1090
23,25.303,1.093,2.643,0,24,27.663,0,1137
24,25.303,0.994,2.508,0,19,25.157,0,1034
25,25.303,1.023,2.798,0,41,25.887,0,1064
26,25.303,1.071,2.585,0,19,27.104,0,1114
27,25.303,1.098,2.909,0,41,27.785,0,1142
28,25.303,1.109,2.776,0,27,28.053,0,1153
29,25.303,0.973,2.467,0,21,24.622,0,1012
30,25.303,0.992,2.368,0,19,25.109,0,1032
31,25.303,1.152,2.895,0,22,29.148,0,1198
32,25.303,0.977,2.618,0,40,24.719,0,1016
