 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,42.578,3.629,8.505,0,93,154.497,1,6350
2,42.578,3.865,9.212,0,103,164.545,0,6763
3,42.578,3.663,8.760,0,79,155.981,0,6411
4,42.578,0.729,2.253,0,20,31.021,0,1275
5,42.578,0.746,2.269,0,25,31.751,0,1305
6,42.578,0.675,1.938,0,26,28.758,0,1182
7,42.578,0.779,2.312,0,29,33.186,0,1364
8,42.578,0.821,2.368,0,32,34.938,0,1436
9,42.578,0.658,2.037,0,36,28.004,0,1151
10,42.578,0.739,2.112,0,27,31.483,0,1294
11,42.578,0.729,2.312,0,39,31.045,0,1276
12,42.578,0.717,1.945,0,21,30.534,0,1255
13,42.578,0.811,2.252,0,36,34.549,0,1420
14,42.578,0.823,2.363,0,29,35.036,0,1440
15,42.578,0.770,2.466,0,52,32.773,0,1347
16,42.578,0.667,1.812,0,22,28.393,0,1167
17,42.578,0.767,2.175,0,27,32.675,0,1343
18,42.578,0.691,2.108,0,41,29.415,0,1209
19,42.578,0.773,2.114,0,20,32.894,0,1352
20,42.578,0.810,2.425,0,36,34.500,0,1418
21,42.578,0.737,2.103,0,26,31.362,0,1289
22,42.578,0.692,1.978,0,24,29.464,0,1211
23,42.578,0.722,2.065,0,22,30.729,0,1263
24,42.578,0.654,1.715,0,16,27.834,0,1144
25,42.578,0.695,2.184,0,33,29.610,0,1217
26,42.578,0.639,1.902,0,23,27.201,0,1118
27,42.578,0.601,1.691,0,22,25.595,0,1052
28,42.578,0.577,1.680,0,20,24.574,0,1010.000
29,42.578,0.663,1.993,0,29,28.223,0,1160
30,42.578,0.649,2.127,0,22,27.639,0,1136
31,42.578,0.683,2.038,0,26,29.099,0,1196
32,42.578,0.682,2.223,0,32,29.050,0,1194
33,42.578,0.721,2.212,0,31,30.705,0,1262
34,42.578,0.637,1.903,0,20,27.128,0,1115
35,42.578,0.669,1.969,0,19,28.491,0,1171
36,42.578,0.798,2.227,0,20,33.989,0,1397
37,42.578,0.729,2.168,0,30,31.021,0,1275
38,42.578,0.739,2.327,0,29,31.483,0,1294
39,42.578,0.650,2.262,0,37,27.663,0,1137
40,42.578,0.805,3.080,0,64,34.257,0,1408
