 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,1184.735,0.017,0.418,0,35,20.072,0,825.000
2,1184.735,0.025,0.712,0,59,29.123,0,1197.000
3,1184.735,0.019,0.525,0,50,22.116,0,909.000
4,1184.735,0.078,0.639,0,62,92.601,0,3806.000
5,1184.735,0.038,0.540,0,44,45.449,0,1868.000
6,1184.735,0.025,0.656,0,70,29.950,0,1231.000
7,1184.735,0.017,0.476,0,60,19.926,0,819.000
8,1184.735,0.018,0.566,0,51,21.094,0,867.000
9,1184.735,0.020,0.459,0,36,23.722,0,975.000
10,1184.735,0.022,0.452,0,36,25.571,0,1051.000
11,1184.735,0.030,0.651,0,66,35.546,0,1461.000
12,1184.735,0.026,0.587,0,70,31.021,0,1275.000
13,1184.735,0.035,0.635,0,63,42.018,0,1727.000
14,1184.735,0.041,0.613,0,60,48.806,0,2006.000
15,1184.735,0.041,0.689,0,84,48.271,0,1984.000
16,1184.735,0.042,0.571,0,49,49.828,0,2048.000
17,1184.735,0.049,0.678,0,75,57.979,0,2383.000
18,1184.735,0.052,0.743,0,81,61.993,0,2548.000
19,1184.735,0.061,0.689,0,71,71.993,0,2959.000
20,1184.735,0.059,0.561,0,42,69.463,0,2855.000
21,1184.735,0.063,0.499,0,44,74.061,0,3044.000
22,1184.735,0.084,0.665,0,57,99.097,0,4073.000
23,1184.735,0.089,0.522,0,42,105.350,0,4330.000
24,1184.735,0.109,0.722,0,57,129.291,0,5314.000
25,1184.735,0.114,0.587,0,43,134.814,0,5541.000
26,1184.735,0.116,0.573,0,57,137.855,0,5666.000
27,1184.735,0.135,0.778,0,77,160.409,0,6593.000
28,1184.735,0.141,0.636,0,51,166.881,0,6859.000
29,1184.735,0.150,0.641,0,62,177.489,0,7295.000
30,1184.735,0.151,0.651,0,47,179.046,0,7359.000
31,1184.735,0.167,0.751,0,52,197.732,0,8127.000
32,1184.735,0.179,0.780,0,95,212.232,0,8723.000
33,1184.735,0.189,0.692,0,47,223.814,0,9199.000
34,1184.735,0.195,0.655,0,37,230.894,0,9490.000
35,1184.735,0.202,0.789,0,76,238.777,0,9814.000
