 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,42.237,30.787,63.500,0,255,1300.352,1,53446
2,42.237,30.561,63.040,0,255,1290.815,1,53054
3,42.237,29.760,61.339,0,255,1256.996,1,51664
4,42.237,26.097,53.990,0,255,1102.280,0,45305
5,42.237,26.163,54.718,0,255,1105.054,0,45419
6,42.237,25.086,50.960,0,255,1059.556,0,43549
7,42.237,25.226,51.159,0,255,1065.493,1,43793
8,42.237,24.695,50.161,0,255,1043.060,1,42871
9,42.237,24.230,49.428,0,255,1023.402,1,42063
10,42.237,24.469,48.457,0,250,1033.523,1,42479
11,42.237,24.552,48.708,0,251,1037.027,1,42623
12,42.237,23.714,45.985,0,240,1001.626,1,41168
13,42.237,23.036,45.358,0,234,972.965,1,39990
14,42.237,23.593,46.098,0,254,996.517,1,40958
15,42.237,22.770,44.692,0,242,961.725,1,39528
16,42.237,22.847,45.350,0,247,964.985,1,39662
17,42.237,22.235,43.490,0,242,939.146,1,38600
18,42.237,22.764,44.397,0,249,961.506,1,39519
19,42.237,21.885,42.368,0,235,924.378,1,37993
20,42.237,22.202,43.373,0,232,937.759,1,38543
21,42.237,22.109,43.207,0,221,933.842,1,38382
22,42.237,22.067,43.491,0,240,932.066,1,38309
23,42.237,21.428,42.094,0,221,905.060,1,37199
24,42.237,21.240,41.013,0,232,897.104,1,36872
25,42.237,21.454,41.837,0,227,906.179,1,37245
26,42.237,21.046,41.628,0,231,888.904,1,36535
27,42.237,20.589,41.266,0,211,869.635,1,35743
28,42.237,20.546,41.490,0,253,867.786,1,35667
29,42.237,20.588,42.270,0,246,869.562,1,35740
30,42.237,20.916,42.807,0,222,883.430,1,36310
31,42.237,20.812,42.406,0,235,879.026,1,36129
32,42.237,20.465,41.999,0,255,864.404,1,35528
33,42.237,20.040,41.606,0,212,846.448,1,34790
