 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,56.397,9.649,18.084,0,119,544.194,0,22367
2,56.397,9.569,17.934,0,127,539.668,0,22181
3,56.397,9.761,18.402,0,131,550.520,0,22627
4,56.397,2.600,6.065,0,59,146.638,0,6027
5,56.397,3.146,7.043,0,50,177.440,0,7293
6,56.397,3.497,7.561,0,53,197.221,0,8106
7,56.397,4.188,8.998,0,103,236.173,0,9707
8,56.397,4.528,9.503,0,76,255.394,0,10497
9,56.397,4.679,9.804,0,87,263.885,0,10846
10,56.397,5.157,10.704,0,94,290.819,0,11953
11,56.397,5.124,10.190,0,76,288.994,0,11878
12,56.397,5.596,10.811,0,72,315.612,0,12972
13,56.397,5.362,10.719,0,86,302.376,0,12428
14,56.397,5.591,11.042,0,88,315.344,0,12961
15,56.397,5.684,10.958,0,78,320.551,0,13175
16,56.397,5.500,10.235,0,80,310.162,0,12748
17,56.397,5.535,10.463,0,71,312.157,0,12830
18,56.397,5.425,10.603,0,80,305.977,0,12576
19,56.397,5.500,10.212,0,74,310.162,0,12748
20,56.397,5.748,10.749,0,99,324.200,0,13325
21,56.397,5.723,10.794,0,75,322.765,0,13266
22,56.397,6.003,11.338,0,88,338.579,0,13916
23,56.397,5.962,11.137,0,78,336.244,0,13820
24,56.397,6.157,11.571,0,134,347.265,0,14273
25,56.397,6.191,11.552,0,77,349.139,0,14350
26,56.397,6.123,10.941,0,97,345.319,0,14193
27,56.397,6.318,11.299,0,84,356.316,0,14645
28,56.397,6.547,11.757,0,77,369.260,0,15177
29,56.397,6.381,11.305,0,76,359.892,0,14792
30,56.397,6.415,11.869,0,143,361.790,0,14870
31,56.397,6.645,12.116,0,105,374.758,0,15403
32,56.397,6.778,12.272,0,81,382.276,1,15712
33,56.397,7.124,12.628,0,119,401.765,1,16513
34,56.397,7.164,12.802,0,94,404.003,1,16605
35,56.397,6.954,12.478,0,98,392.203,1,16120
