 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,38.685,11.276,21.399,0,164,436.216,0,17929.000
2,38.685,10.825,20.515,0,145,418.747,0,17211.000
3,38.685,10.775,20.215,0,135,416.850,0,17133.000
4,38.685,2.999,7.120,0,61,116.006,0,4768.000
5,38.685,3.921,8.675,0,59,151.675,0,6234.000
6,38.685,4.431,9.910,0,78,171.431,0,7046.000
7,38.685,4.467,9.509,0,68,172.817,0,7103.000
8,38.685,5.315,11.536,0,89,205.615,0,8451.000
9,38.685,5.326,11.391,0,79,206.028,0,8468.000
10,38.685,5.863,12.433,0,77,226.806,0,9322.000
11,38.685,5.764,12.249,0,99,222.962,0,9164.000
12,38.685,6.133,12.485,0,100,237.268,0,9752.000
13,38.685,5.738,11.535,0,93,221.989,0,9124.000
14,38.685,6.193,12.141,0,80,239.580,0,9847.000
15,38.685,6.165,12.524,0,128,238.485,0,9802.000
16,38.685,6.135,11.676,0,81,237.341,0,9755.000
17,38.685,6.161,11.741,0,82,238.339,0,9796.000
18,38.685,6.111,11.854,0,77,236.417,0,9717.000
19,38.685,6.267,11.807,0,72,242.426,0,9964.000
20,38.685,6.230,11.748,0,77,241.015,0,9906.000
21,38.685,6.421,11.835,0,81,248.411,0,10210.000
22,38.685,6.294,11.892,0,99,243.472,0,10007.000
23,38.685,6.626,12.113,0,68,256.343,0,10536.000
24,38.685,6.386,11.893,0,77,247.049,0,10154.000
25,38.685,6.267,12.078,0,84,242.426,0,9964.000
26,38.685,6.476,12.576,0,97,250.528,0,10297.000
27,38.685,6.695,12.593,0,88,258.995,0,10645.000
28,38.685,6.992,13.030,0,94,270.479,0,11117.000
29,38.685,6.653,12.039,0,79,257.365,0,10578.000
30,38.685,6.602,12.772,0,135,255.394,0,10497.000
31,38.685,6.788,13.033,0,88,262.596,0,10793.000
32,38.685,6.814,12.564,0,90,263.618,0,10835.000
33,38.685,7.214,13.422,0,105,279.068,0,11470.000
34,38.685,7.295,13.653,0,81,282.206,0,11599.000
35,38.685,7.179,13.067,0,78,277.705,0,11414.000
