 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,51.458,17.817,43.701,0,255,916.835,1,37683.000
2,51.458,17.339,42.303,0,255,892.238,1,36672.000
3,51.458,17.502,44.037,0,255,900.607,1,37016.000
4,51.458,3.843,10.982,0,121,197.732,0,8127.000
5,51.458,4.951,12.922,0,97,254.762,0,10471.000
6,51.458,5.697,14.108,0,106,293.179,0,12050.000
7,51.458,6.573,16.631,0,133,338.214,0,13901.000
8,51.458,7.294,18.585,0,158,375.342,0,15427.000
9,51.458,7.400,18.475,0,156,380.768,0,15650.000
10,51.458,8.049,19.421,0,148,414.198,0,17024.000
11,51.458,8.410,19.674,0,135,432.786,0,17788.000
12,51.458,8.401,19.549,0,143,432.299,0,17768.000
13,51.458,8.974,21.014,0,187,461.763,0,18979.000
14,51.458,9.248,20.911,0,144,475.899,0,19560.000
15,51.458,9.002,21.053,0,181,463.223,0,19039.000
16,51.458,9.441,22.091,0,167,485.826,0,19968.000
17,51.458,9.439,22.243,0,189,485.728,1,19964.000
18,51.458,9.087,21.134,0,160,467.627,0,19220.000
19,51.458,9.467,22.477,0,183,487.164,0,20023.000
20,51.458,9.723,22.917,0,182,500.326,1,20564.000
21,51.458,9.868,22.317,0,139,507.772,1,20870.000
22,51.458,9.859,23.715,0,198,507.309,1,20851.000
23,51.458,9.730,22.946,0,143,500.691,1,20579.000
24,51.458,9.855,23.198,0,182,507.115,1,20843.000
25,51.458,10.035,23.717,0,171,516.409,1,21225.000
26,51.458,10.232,24.489,0,169,526.506,1,21640.000
27,51.458,10.465,25.207,0,179,538.525,1,22134.000
28,51.458,9.960,23.813,0,165,512.516,1,21065.000
29,51.458,10.420,25.467,0,184,536.189,1,22038.000
30,51.458,10.198,25.304,0,187,524.778,1,21569.000
31,51.458,10.534,26.096,0,186,542.077,1,22280.000
32,51.458,10.477,25.783,0,235,539.109,1,22158.000
33,51.458,10.772,27.446,0,240,554.291,1,22782.000
