 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,85.399,6.704,22.459,0,241,572.539,0,23532.000
2,85.399,6.705,22.817,0,255,572.612,0,23535.000
3,85.399,6.538,22.045,0,255,558.378,0,22950.000
4,85.399,1.311,5.051,0,63,111.919,0,4600.000
5,85.399,1.780,6.641,0,93,152.039,0,6249.000
6,85.399,2.099,7.423,0,99,179.241,0,7367.000
7,85.399,2.497,8.463,0,102,213.254,0,8765.000
8,85.399,2.626,9.099,0,126,224.276,0,9218.000
9,85.399,2.725,9.315,0,115,232.718,0,9565.000
10,85.399,3.038,10.245,0,131,259.433,0,10663.000
11,85.399,2.989,10.163,0,118,255.297,0,10493.000
12,85.399,3.142,10.232,0,132,268.338,0,11029.000
13,85.399,3.230,11.092,0,149,275.856,0,11338.000
14,85.399,3.515,11.051,0,103,300.137,0,12336.000
15,85.399,3.409,10.981,0,123,291.135,0,11966.000
16,85.399,3.453,11.269,0,118,294.906,0,12121.000
17,85.399,3.425,11.257,0,123,292.449,0,12020.000
18,85.399,3.509,11.472,0,136,299.700,0,12318.000
19,85.399,3.520,11.340,0,138,300.624,0,12356.000
20,85.399,3.536,11.623,0,132,301.938,0,12410.000
21,85.399,3.647,11.813,0,126,311.451,0,12801.000
22,85.399,3.703,12.150,0,157,316.268,0,12999.000
23,85.399,3.532,11.647,0,140,301.597,0,12396.000
24,85.399,3.426,11.226,0,130,292.595,0,12026.000
25,85.399,3.664,12.226,0,154,312.935,0,12862.000
26,85.399,3.731,12.275,0,142,318.604,0,13095.000
27,85.399,3.644,12.295,0,161,311.232,0,12792.000
28,85.399,3.604,12.057,0,123,307.777,0,12650.000
29,85.399,3.355,11.209,0,147,286.513,0,11776.000
30,85.399,3.590,12.162,0,147,306.609,0,12602.000
31,85.399,3.536,12.177,0,177,301.938,0,12410.000
32,85.399,3.569,12.039,0,181,304.809,0,12528.000
33,85.399,3.428,11.761,0,161,292.765,0,12033.000
