 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,759.103,0.147,0.743,0,45,111.676,0,4590
2,759.103,0.139,0.650,0,38,105.398,0,4332
3,759.103,0.147,0.672,0,51,111.359,0,4577
4,759.103,0.040,0.542,0,44,30.218,0,1242
5,759.103,0.069,0.568,0,44,52.748,0,2168
6,759.103,0.100,0.943,0,86,75.910,0,3120
7,759.103,0.112,0.736,0,65,84.693,0,3481
8,759.103,0.131,0.612,0,36,99.267,0,4080
9,759.103,0.141,0.739,0,50,106.883,0,4393
10,759.103,0.154,0.640,0,33,117.101,0,4813
11,759.103,0.181,0.712,0,42,137.612,0,5656
12,759.103,0.189,0.689,0,66,143.792,0,5910
13,759.103,0.197,0.649,0,43,149.387,0,6140
14,759.103,0.215,0.774,0,55,163.523,0,6721
15,759.103,0.229,0.699,0,45,173.791,0,7143
16,759.103,0.237,0.836,0,67,179.533,0,7379
17,759.103,0.239,0.860,0,72,181.309,0,7452
18,759.103,0.246,0.786,0,50,186.734,0,7675
19,759.103,0.239,0.736,0,41,181.065,0,7442
20,759.103,0.245,0.692,0,31,186.004,0,7645
21,759.103,0.241,0.728,0,38,182.744,0,7511
22,759.103,0.246,0.780,0,50,186.807,0,7678
23,759.103,0.255,0.748,0,58,193.255,0,7943
24,759.103,0.254,0.650,0,42,192.890,0,7928
25,759.103,0.262,0.578,0,22,198.681,0,8166.000
26,759.103,0.276,0.711,0,45,209.313,0,8603
27,759.103,0.265,0.650,0,40,201.405,0,8278
28,759.103,0.267,0.766,0,54,202.646,0,8329
29,759.103,0.266,0.611,0,35,201.819,0,8295
30,759.103,0.274,0.697,0,48,208.315,0,8562
31,759.103,0.269,0.745,0,61,204.520,0,8406
32,759.103,0.269,0.738,0,45,203.912,0,8381
33,759.103,0.275,0.859,0,66,208.607,0,8574
34,759.103,0.271,0.845,0,68,206.077,0,8470
35,759.103,0.268,0.780,0,74,203.595,0,8368
36,759.103,0.263,0.730,0,39,199.362,0,8194
37,759.103,0.289,0.807,0,44,219.750,0,9032
38,759.103,0.293,0.890,0,61,222.110,0,9129
39,759.103,0.288,0.701,0,43,218.607,0,8985
40,759.103,0.304,0.918,0,77,230.553,0,9476
