 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,44.768,43.423,77.839,0,255,1943.935,1,79898
2,44.768,42.758,77.060,0,255,1914.155,1,78674
3,44.768,43.721,77.827,0,255,1957.293,1,80447
4,44.768,43.320,77.970,0,255,1939.312,0,79708
5,44.768,43.298,77.474,0,255,1938.364,1,79669
6,44.768,43.214,77.516,0,255,1934.592,1,79514
7,44.768,42.979,77.462,0,255,1924.057,1,79081
8,44.768,42.364,76.448,0,255,1896.540,1,77950
9,44.768,42.742,76.739,0,255,1913.474,1,78646
10,44.768,42.320,76.007,0,255,1894.569,1,77869
11,44.768,42.076,76.174,0,255,1883.621,1,77419
12,44.768,42.136,75.835,0,255,1886.321,1,77530
13,44.768,41.343,75.132,0,255,1850.848,1,76072
14,44.768,41.402,75.848,0,255,1853.475,1,76180
15,44.768,41.164,75.201,0,255,1842.819,1,75742
16,44.768,41.621,75.536,0,255,1863.281,1,76583
17,44.768,41.621,75.536,0,255,1863.281,1,76583
18,44.768,41.217,74.699,0,255,1845.179,1,75839
19,44.768,40.501,73.950,0,255,1813.136,1,74522
20,44.768,40.230,73.968,0,255,1800.995,1,74023
21,44.768,40.658,74.211,0,255,1820.167,1,74811
22,44.768,39.824,73.879,0,255,1782.821,1,73276
23,44.768,39.768,73.900,0,255,1780.315,1,73173
24,44.768,40.150,74.034,0,255,1797.419,1,73876
25,44.768,39.742,73.442,0,255,1779.147,1,73125
26,44.768,40.049,74.245,0,255,1792.918,1,73691
27,44.768,39.237,72.838,0,255,1756.544,1,72196
28,44.768,39.447,72.919,0,255,1765.935,1,72582
29,44.768,39.224,72.558,0,255,1755.960,1,72172
30,44.768,40.472,74.147,0,255,1811.822,1,74468
31,44.768,39.765,73.605,0,255,1780.169,1,73167
32,44.768,40.534,73.628,0,255,1814.620,1,74583
33,44.768,41.059,74.455,0,255,1838.099,1,75548
34,44.768,41.302,74.947,0,255,1848.999,1,75996
35,44.768,41.514,74.833,0,255,1858.488,1,76386
36,44.768,41.451,74.625,0,255,1855.665,1,76270
37,44.768,41.783,75.425,0,255,1870.531,1,76881
38,44.768,42.396,75.695,0,255,1897.951,1,78008
39,44.768,42.870,75.985,0,255,1919.191,1,78881
40,44.768,42.532,75.518,0,255,1904.058,1,78259
