 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,36.057,7.271,16.443,0,123,262.158,0,10775.000
2,36.057,7.277,16.972,0,138,262.401,0,10785.000
3,36.057,6.740,15.366,0,116,243.010,0,9988.000
4,36.057,2.735,7.208,0,63,98.610,0,4053.000
5,36.057,3.386,8.288,0,62,122.089,0,5018.000
6,36.057,3.607,8.985,0,80,130.045,0,5345.000
7,36.057,3.910,9.619,0,75,140.994,0,5795.000
8,36.057,4.024,10.095,0,79,145.081,0,5963.000
9,36.057,4.106,10.494,0,90,148.049,0,6085.000
10,36.057,3.872,9.396,0,66,139.631,0,5739.000
11,36.057,4.075,9.998,0,82,146.930,0,6039.000
12,36.057,3.976,9.395,0,77,143.354,0,5892.000
13,36.057,3.796,9.337,0,101,136.857,0,5625.000
14,36.057,4.141,9.507,0,74,149.315,0,6137.000
15,36.057,3.902,9.404,0,74,140.702,0,5783.000
16,36.057,4.146,9.680,0,85,149.485,0,6144.000
17,36.057,4.275,10.118,0,110,154.156,0,6336.000
18,36.057,3.868,8.978,0,81,139.461,0,5732.000
19,36.057,4.061,9.238,0,71,146.444,0,6019.000
20,36.057,4.214,9.705,0,121,151.942,0,6245.000
21,36.057,4.113,9.016,0,65,148.317,0,6096.000
22,36.057,3.859,8.915,0,74,139.144,0,5719.000
23,36.057,3.976,8.910,0,65,143.378,0,5893.000
24,36.057,4.181,9.142,0,63,150.750,0,6196.000
25,36.057,4.258,9.906,0,127,153.524,0,6310.000
26,36.057,3.936,8.843,0,69,141.918,0,5833.000
27,36.057,3.918,8.726,0,74,141.261,0,5806.000
28,36.057,4.138,9.209,0,64,149.193,0,6132.000
29,36.057,3.940,9.200,0,94,142.064,0,5839.000
30,36.057,4.680,9.799,0,65,168.754,0,6936.000
31,36.057,4.508,9.564,0,84,162.550,0,6681.000
32,36.057,4.401,9.621,0,76,158.706,0,6523.000
33,36.057,4.566,10.091,0,81,164.643,0,6767.000
34,36.057,4.482,9.996,0,83,161.626,0,6643.000
35,36.057,4.702,9.973,0,71,169.533,0,6968.000
