 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,23.552,13.023,31.199,0,213,306.707,0,12606
2,23.552,13.501,32.855,0,255,317.972,0,13069
3,23.552,13.061,32.347,0,239,307.607,0,12643
4,23.552,5.909,16.603,0,146,139.169,0,5720
5,23.552,6.027,15.540,0,131,141.942,0,5834
6,23.552,6.730,17.163,0,151,158.511,0,6515
7,23.552,6.885,18.427,0,188,162.161,0,6665
8,23.552,6.945,18.217,0,154,163.572,0,6723
9,23.552,6.289,16.174,0,135,148.122,0,6088
10,23.552,6.996,18.573,0,186,164.764,0,6772
11,23.552,6.759,17.620,0,158,159.193,0,6543
12,23.552,7.413,18.299,0,133,174.594,0,7176
13,23.552,7.424,17.958,0,153,174.837,0,7186
14,23.552,7.255,18.602,0,142,170.871,0,7023
15,23.552,7.646,18.441,0,119,180.068,0,7401
16,23.552,7.427,19.275,0,130,174.910,0,7189
17,23.552,7.346,18.234,0,136,173.012,0,7111
18,23.552,7.786,19.122,0,145,183.377,0,7537
19,23.552,7.791,19.239,0,149,183.498,0,7542
20,23.552,7.722,18.863,0,146,181.868,0,7475
21,23.552,8.046,18.792,0,150,189.508,0,7789
22,23.552,7.840,19.299,0,149,184.642,0,7589
23,23.552,7.409,18.347,0,164,174.496,0,7172
24,23.552,8.009,20.161,0,197,188.632,0,7753
25,23.552,8.221,20.156,0,148,193.620,0,7958
26,23.552,7.968,19.148,0,162,187.659,0,7713
27,23.552,7.648,18.456,0,149,180.117,0,7403
28,23.552,8.207,19.677,0,171,193.279,0,7944.000
29,23.552,8.135,20.296,0,160,191.600,0,7875
30,23.552,8.077,19.670,0,159,190.238,0,7819
31,23.552,8.354,21.435,0,179,196.758,0,8087
32,23.552,8.723,21.525,0,188,205.444,0,8444
33,23.552,8.432,19.604,0,152,198.583,0,8162
34,23.552,8.388,21.319,0,162,197.561,0,8120.000
35,23.552,8.384,20.381,0,177,197.464,1,8116
36,23.552,8.348,21.987,0,181,196.612,0,8081
37,23.552,9.023,23.008,0,211,212.500,0,8734
38,23.552,9.507,24.169,0,187,223.911,0,9203
39,23.552,9.275,23.588,0,201,218.437,0,8978
40,23.552,9.343,24.262,0,186,220.042,0,9044
