 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,28.223,36.257,67.439,0,255,1023.280,2,42058.000
2,28.223,36.125,67.131,0,255,1019.558,1,41905.000
3,28.223,35.994,67.340,0,255,1015.859,1,41753.000
4,28.223,9.546,22.644,0,199,269.408,0,11073.000
5,28.223,11.944,26.993,0,181,337.095,0,13855.000
6,28.223,13.527,29.061,0,250,381.765,1,15691.000
7,28.223,14.540,29.562,0,198,410.353,1,16866.000
8,28.223,15.768,32.273,0,191,445.024,1,18291.000
9,28.223,16.297,32.853,0,255,459.938,1,18904.000
10,28.223,16.722,33.124,0,201,471.933,1,19397.000
11,28.223,16.725,33.031,0,225,472.030,1,19401.000
12,28.223,17.155,33.010,0,188,484.171,1,19900.000
13,28.223,18.274,34.136,0,193,515.752,1,21198.000
14,28.223,19.190,35.833,0,200,541.591,1,22260.000
15,28.223,19.505,37.301,0,218,550.495,1,22626.000
16,28.223,19.622,37.670,0,217,553.804,1,22762.000
17,28.223,19.278,36.058,0,216,544.072,1,22362.000
18,28.223,20.129,38.134,0,243,568.110,1,23350.000
19,28.223,20.620,38.341,0,200,581.954,1,23919.000
20,28.223,20.072,37.780,0,237,566.505,1,23284.000
21,28.223,20.040,38.385,0,253,565.580,1,23246.000
22,28.223,20.797,39.053,0,233,586.966,1,24125.000
23,28.223,20.631,39.416,0,219,582.271,1,23932.000
24,28.223,22.006,42.510,0,226,621.077,1,25527.000
25,28.223,21.964,42.209,0,241,619.885,1,25478.000
26,28.223,21.929,41.713,0,239,618.912,1,25438.000
27,28.223,22.691,44.450,0,247,640.420,1,26322.000
28,28.223,22.471,44.455,0,255,634.191,1,26066.000
29,28.223,22.877,46.138,0,255,645.651,1,26537.000
30,28.223,22.927,46.463,0,255,647.062,1,26595.000
31,28.223,22.633,46.219,0,253,638.765,1,26254.000
32,28.223,22.415,46.849,0,255,632.610,1,26001.000
33,28.223,23.175,48.093,0,255,654.069,1,26883.000
