 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,2063.494,0.331,0.740,0,51,682.657,0,28058.000
2,2063.494,0.331,0.674,0,41,683.703,0,28101.000
3,2063.494,0.336,0.794,0,69,692.340,0,28456.000
4,2063.494,0.057,0.656,0,77,117.637,0,4835.000
5,2063.494,0.115,0.669,0,58,236.782,0,9732.000
6,2063.494,0.146,0.592,0,45,300.940,0,12369.000
7,2063.494,0.178,0.721,0,61,367.046,0,15086.000
8,2063.494,0.205,0.745,0,60,424.027,0,17428.000
9,2063.494,0.210,0.620,0,52,434.027,0,17839.000
10,2063.494,0.244,0.842,0,79,503.879,0,20710.000
11,2063.494,0.254,0.740,0,69,524.730,0,21567.000
12,2063.494,0.280,0.792,0,84,578.329,0,23770.000
13,2063.494,0.281,0.715,0,52,579.789,0,23830.000
14,2063.494,0.294,0.741,0,76,606.212,0,24916.000
15,2063.494,0.298,0.759,0,91,614.727,0,25266.000
16,2063.494,0.303,0.755,0,61,625.603,0,25713.000
17,2063.494,0.310,0.742,0,56,639.617,0,26289.000
18,2063.494,0.312,0.790,0,59,642.926,0,26425.000
19,2063.494,0.317,0.710,0,72,654.191,0,26888.000
20,2063.494,0.322,0.737,0,44,663.655,0,27277.000
21,2063.494,0.322,0.788,0,57,664.993,0,27332.000
22,2063.494,0.322,0.779,0,65,664.555,0,27314.000
23,2063.494,0.332,0.769,0,62,685.893,0,28191.000
24,2063.494,0.331,0.784,0,70,683.314,0,28085.000
25,2063.494,0.332,0.700,0,68,685.528,0,28176.000
26,2063.494,0.335,0.710,0,60,691.221,0,28410.000
27,2063.494,0.338,0.774,0,56,697.669,0,28675.000
28,2063.494,0.336,0.809,0,59,693.289,0,28495.000
29,2063.494,0.337,0.786,0,62,696.160,0,28613.000
30,2063.494,0.337,0.750,0,65,695.333,0,28579.000
31,2063.494,0.332,0.678,0,55,685.139,0,28160.000
32,2063.494,0.335,0.723,0,51,690.516,0,28381.000
33,2063.494,0.333,0.709,0,45,687.280,0,28248.000
