 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,59.171,17.826,33.588,0,220,1054.788,0,43353
2,59.171,16.635,31.322,0,200,984.327,0,40457
3,59.171,17.061,32.765,0,244,1009.509,0,41492
4,59.171,17.726,34.102,0,201,1048.875,0,43110
5,59.171,17.413,33.843,0,223,1030.336,0,42348
6,59.171,17.521,33.218,0,191,1036.710,0,42610
7,59.171,16.791,32.796,0,198,993.524,0,40835
8,59.171,17.755,34.153,0,205,1050.603,0,43181
9,59.171,17.424,34.188,0,212,1031.017,0,42376
10,59.171,17.124,32.815,0,233,1013.256,0,41646
11,59.171,16.493,31.292,0,193,975.909,0,40111
12,59.171,16.616,31.590,0,224,983.208,0,40411
13,59.171,15.873,29.465,0,186,939.195,0,38602
14,59.171,15.474,28.489,0,211,915.619,0,37633
15,59.171,15.300,27.805,0,174,905.303,0,37209
16,59.171,14.781,26.878,0,173,874.598,0,35947
17,59.171,14.608,26.408,0,192,864.355,0,35526
18,59.171,14.609,26.493,0,195,864.452,0,35530
19,59.171,14.504,25.860,0,165,858.224,0,35274
20,59.171,14.605,26.273,0,164,864.185,0,35519
21,59.171,14.073,24.772,0,162,832.701,0,34225
22,59.171,14.770,25.780,0,140,873.941,0,35920
23,59.171,14.475,25.741,0,181,856.472,0,35202
24,59.171,14.415,25.844,0,165,852.969,0,35058
25,59.171,14.172,24.896,0,156,838.565,0,34466
26,59.171,14.261,25.543,0,151,843.845,0,34683
27,59.171,14.701,26.261,0,147,869.854,0,35752
28,59.171,14.512,25.649,0,156,858.662,0,35292
29,59.171,14.527,25.958,0,183,859.586,0,35330
30,59.171,14.421,25.904,0,163,853.285,0,35071
31,59.171,14.544,26.011,0,177,860.560,0,35370
32,59.171,14.342,25.628,0,178,848.638,0,34880
33,59.171,15.135,26.952,0,189,895.546,1,36808
34,59.171,15.170,27.631,0,186,897.639,0,36894
35,59.171,15.290,27.671,0,173,904.743,1,37186
