 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,39.342,14.881,30.180,0,230,585.434,0,24062.000
2,39.342,14.349,28.219,0,167,564.510,0,23202.000
3,39.342,14.233,28.605,0,182,559.935,0,23014.000
4,39.342,4.935,11.369,0,87,194.155,0,7980.000
5,39.342,5.642,12.800,0,102,221.965,0,9123.000
6,39.342,5.764,12.464,0,89,226.782,0,9321.000
7,39.342,6.785,14.288,0,114,266.951,0,10972.000
8,39.342,7.025,14.807,0,110,276.367,0,11359.000
9,39.342,6.845,15.088,0,120,269.311,0,11069.000
10,39.342,7.208,15.214,0,102,283.569,0,11655.000
11,39.342,7.049,14.295,0,97,277.316,0,11398.000
12,39.342,7.061,15.064,0,111,277.778,0,11417.000
13,39.342,7.440,15.002,0,110,292.717,0,12031.000
14,39.342,6.706,14.399,0,114,263.812,0,10843.000
15,39.342,7.142,14.306,0,96,280.990,0,11549.000
16,39.342,6.808,13.655,0,142,267.851,0,11009.000
17,39.342,6.982,13.623,0,88,274.688,0,11290.000
18,39.342,6.868,13.390,0,91,270.211,0,11106.000
19,39.342,7.020,13.474,0,103,276.197,0,11352.000
20,39.342,7.006,13.825,0,98,275.637,0,11329.000
21,39.342,7.092,13.514,0,105,278.995,0,11467.000
22,39.342,7.143,13.814,0,125,281.014,0,11550.000
23,39.342,7.335,14.004,0,103,288.581,0,11861.000
24,39.342,7.152,13.973,0,105,281.379,0,11565.000
25,39.342,7.263,13.386,0,76,285.734,0,11744.000
26,39.342,7.565,14.367,0,93,297.607,0,12232.000
27,39.342,7.331,13.560,0,80,288.435,0,11855.000
28,39.342,7.956,14.603,0,84,313.008,0,12865.000
29,39.342,7.623,14.762,0,133,299.894,0,12326.000
30,39.342,7.635,14.534,0,99,300.356,0,12345.000
31,39.342,7.881,14.777,0,113,310.064,0,12744.000
32,39.342,8.375,15.430,0,105,329.480,1,13542.000
33,39.342,7.944,15.391,0,121,312.546,0,12846.000
34,39.342,8.245,15.557,0,104,324.370,1,13332.000
35,39.342,8.125,15.577,0,99,319.650,0,13138.000
