 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,24.817,12.037,26.542,0,217,298.726,1,12278
2,24.817,11.698,25.758,0,206,290.308,1,11932
3,24.817,11.685,26.103,0,239,289.992,1,11919
4,24.817,3.409,9.239,0,87,84.596,0,3477
5,24.817,4.429,11.325,0,116,109.924,0,4518
6,24.817,5.147,12.085,0,141,127.734,0,5250
7,24.817,5.673,13.243,0,98,140.775,0,5786
8,24.817,6.170,13.579,0,121,153.110,0,6293
9,24.817,6.380,13.935,0,129,158.341,0,6508
10,24.817,6.476,14.583,0,131,160.725,0,6606
11,24.817,6.616,14.277,0,125,164.180,1,6748
12,24.817,7.348,14.962,0,105,182.355,1,7495
13,24.817,7.159,15.302,0,129,177.659,1,7302
14,24.817,7.562,16.094,0,152,187.659,1,7713
15,24.817,7.525,16.037,0,130,186.759,1,7676
16,24.817,7.560,15.909,0,136,187.610,1,7711
17,24.817,7.292,15.749,0,161,180.968,1,7438
18,24.817,7.044,14.928,0,115,174.813,1,7185
19,24.817,8.384,18.147,0,159,208.072,1,8552
20,24.817,7.765,17.002,0,160,192.695,1,7920
21,24.817,7.484,15.920,0,146,185.737,1,7634
22,24.817,7.389,15.438,0,139,183.377,1,7537
23,24.817,7.839,16.024,0,102,194.544,1,7996
24,24.817,7.684,17.574,0,167,190.700,1,7838
25,24.817,7.981,17.138,0,127,198.072,1,8141
26,24.817,7.483,16.647,0,186,185.713,1,7633
27,24.817,7.974,17.585,0,116,197.878,1,8133
28,24.817,7.640,17.671,0,209,189.605,1,7793
29,24.817,7.579,16.744,0,156,188.097,1,7731
30,24.817,7.461,17.092,0,142,185.153,1,7610
31,24.817,7.324,17.370,0,152,181.747,1,7470
32,24.817,7.368,16.643,0,160,182.842,1,7515
33,24.817,7.254,16.617,0,148,180.019,1,7399
